timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
167485,Ruido,880,0.34375,0.65625,2407168,1.02,45.2,46.0
169406,Ruido,880,0.492188,0.507812,2407168,1.06,44.9,34.0
171311,Ruido,870,0.085938,0.914062,2407168,1.04,44.9,54.0
173229,Ruido,870,0.085938,0.914062,2407168,1.06,101.6,0.0
175152,Ruido,870,0.066406,0.933594,2407168,1.02,44.8,46.0
177056,Ruido,880,0.339844,0.660156,2407168,1.08,72.0,2.0
178974,Ruido,880,0.144531,0.855469,2407168,1.03,62.7,67.0
180894,Ruido,880,0.246094,0.753906,2407168,0.0,62.5,64.0
182799,Ruido,870,0.027344,0.972656,2407168,1.03,59.1,64.0
184720,Llanto,870,0.976562,0.023438,2407168,0.14,58.6,59.0
186641,Llanto,870,0.878906,0.121094,2407168,1.03,58.9,64.0
188546,Llanto,880,0.957031,0.042969,2407168,0.0,106.1,105.0
190465,Llanto,880,0.976562,0.023438,2407168,1.8,58.2,56.0
192385,Ruido,880,0.191406,0.808594,2407168,0.34,60.5,61.0
194293,Ruido,870,0.144531,0.855469,2407168,1.22,62.5,67.0
196209,Ruido,870,0.03125,0.96875,2407168,0.98,58.0,52.0
198146,Ruido,870,0.105469,0.894531,2407168,1.06,107.5,105.0
200035,Ruido,880,0.042969,0.957031,2407168,1.06,107.5,105.0
201956,Llanto,880,0.859375,0.140625,2407168,1.0,44.9,41.0
203877,Ruido,880,0.410156,0.589844,2407168,1.07,44.9,44.0
205781,Llanto,870,0.523438,0.476562,2407168,0.92,46.2,44.0
207700,Llanto,870,0.796875,0.203125,2407168,2.3,60.1,59.0
209621,Ruido,870,0.027344,0.972656,2407168,0.0,44.9,48.0
211526,Llanto,880,0.976562,0.023438,2407168,2.58,92.7,105.0
213447,Ruido,880,0.390625,0.609375,2407168,0.3,45.0,43.0
215367,Llanto,880,0.808594,0.191406,2407168,1.04,45.0,51.0
217271,Ruido,870,0.039062,0.960938,2407168,1.04,45.6,38.0
219189,Llanto,870,0.605469,0.394531,2407168,1.02,75.8,79.0
221110,Llanto,870,0.625,0.375,2407168,1.02,63.2,67.0
223016,Llanto,880,0.613281,0.386719,2407168,0.93,58.7,57.0
224936,Llanto,880,0.976562,0.023438,2407168,1.0,59.1,59.0
226856,Llanto,880,0.976562,0.023438,2407168,0.96,102.2,54.0
228761,Llanto,870,0.976562,0.023438,2407168,1.1,67.4,67.0
230679,Llanto,870,0.976562,0.023438,2407168,0.12,62.7,66.0
232600,Llanto,870,0.976562,0.023438,2407168,1.03,60.0,64.0
234509,Llanto,880,0.976562,0.023438,2407168,1.06,61.9,11.0
236425,Llanto,880,0.976562,0.023438,2407168,0.97,58.0,61.0
238355,Llanto,880,0.976562,0.023438,2407168,1.03,66.6,70.0
240250,Llanto,870,0.976562,0.023438,2407168,1.03,66.6,70.0
242170,Ruido,870,0.175781,0.824219,2407168,0.91,93.5,95.0
244092,Ruido,870,0.039062,0.960938,2407168,1.0,45.6,46.0
245996,Ruido,880,0.039062,0.960938,2407168,0.96,48.7,41.0
247914,Ruido,880,0.027344,0.972656,2407168,1.08,44.9,44.0
249836,Ruido,880,0.035156,0.964844,2407168,0.72,44.9,43.0
251741,Ruido,870,0.09375,0.90625,2407168,1.08,44.9,44.0
253660,Ruido,870,0.035156,0.964844,2407168,1.04,45.3,41.0
255580,Ruido,870,0.363281,0.636719,2407168,1.2,45.1,44.0
257486,Llanto,880,0.660156,0.339844,2407168,0.3,45.3,46.0
259406,Ruido,880,0.109375,0.890625,2407168,1.03,62.3,70.0
261326,Llanto,880,0.972656,0.027344,2407168,1.04,62.7,51.0
263230,Llanto,870,0.671875,0.328125,2407168,1.05,71.1,210.0
265151,Llanto,870,0.964844,0.035156,2407168,0.92,105.4,8.0
267072,Llanto,870,0.976562,0.023438,2407168,1.04,67.9,74.0
268975,Llanto,880,0.898438,0.101562,2407168,0.0,67.4,64.0
270895,Ruido,880,0.253906,0.746094,2407168,1.47,62.7,59.0
272815,Llanto,880,0.625,0.375,2407168,0.83,59.9,57.0
274723,Ruido,870,0.054688,0.945312,2407168,1.2,67.1,66.0
276642,Ruido,870,0.023438,0.976562,2407168,0.89,58.4,56.0
278560,Llanto,870,0.640625,0.359375,2407168,1.21,57.8,56.0
280469,Llanto,880,0.976562,0.023438,2407168,1.21,57.8,56.0
282386,Ruido,880,0.386719,0.613281,2407168,1.04,93.5,88.0
284305,Llanto,880,0.976562,0.023438,2407168,1.07,93.5,93.0
286210,Llanto,870,0.914062,0.085938,2407168,1.06,96.3,85.0
288130,Ruido,870,0.355469,0.644531,2407168,0.96,94.2,95.0
290050,Ruido,870,0.042969,0.957031,2407168,0.92,46.3,44.0
291957,Ruido,880,0.171875,0.828125,2407168,1.0,50.7,52.0
293876,Ruido,880,0.09375,0.90625,2407168,0.93,45.4,44.0
295796,Ruido,880,0.253906,0.746094,2407168,1.0,45.4,48.0
297700,Llanto,870,0.808594,0.191406,2407168,0.94,45.2,44.0
299660,Ruido,870,0.203125,0.796875,2407168,1.03,62.8,70.0
301541,Llanto,870,0.976562,0.023438,2407168,0.98,62.6,66.0
303446,Llanto,880,0.976562,0.023438,2407168,1.06,106.8,0.0
305366,Ruido,880,0.375,0.625,2407168,2.26,59.0,70.0
307287,Llanto,880,0.875,0.125,2407168,0.49,68.0,67.0
309196,Ruido,870,0.039062,0.960938,2407168,1.26,66.9,64.0
311111,Ruido,870,0.042969,0.957031,2407168,1.06,67.0,61.0
313030,Llanto,870,0.96875,0.03125,2407168,0.99,58.3,59.0
314936,Llanto,880,0.941406,0.058594,2407168,0.92,67.1,64.0
316855,Llanto,880,0.960938,0.039062,2407168,0.99,71.2,70.0
318778,Llanto,880,0.972656,0.027344,2407168,0.91,107.0,110.0
320680,Llanto,870,0.976562,0.023438,2407168,0.91,107.0,110.0
322601,Llanto,870,0.976562,0.023438,2407168,1.0,93.5,98.0
324521,Ruido,870,0.097656,0.902344,2407168,1.04,74.4,215.0
326427,Llanto,880,0.976562,0.023438,2407168,0.0,93.9,67.0
328346,Llanto,880,0.949219,0.050781,2407168,3.05,45.7,51.0
330267,Ruido,880,0.324219,0.675781,2407168,0.78,45.5,48.0
332171,Ruido,870,0.441406,0.558594,2407168,1.1,45.4,48.0
334090,Ruido,870,0.128906,0.871094,2407168,0.98,45.2,41.0
336011,Ruido,870,0.113281,0.886719,2407168,0.98,45.6,46.0
337917,Llanto,880,0.976562,0.023438,2407168,0.93,45.4,43.0
339839,Llanto,880,0.976562,0.023438,2407168,1.01,63.0,66.0
341756,Llanto,880,0.910156,0.089844,2407168,1.01,108.8,116.0
343661,Llanto,870,0.976562,0.023438,2407168,0.0,88.8,93.0
345581,Llanto,870,0.976562,0.023438,2407168,1.19,59.3,75.0
347502,Llanto,870,0.941406,0.058594,2407168,0.0,68.2,72.0
349406,Llanto,880,0.976562,0.023438,2407168,1.03,66.0,72.0
351328,Llanto,880,0.976562,0.023438,2407168,0.48,67.1,62.0
353246,Llanto,880,0.976562,0.023438,2407168,1.05,58.4,72.0
355155,Llanto,870,0.976562,0.023438,2407168,1.05,67.0,52.0
357071,Ruido,870,0.046875,0.953125,2407168,1.04,62.5,90.0
358991,Llanto,870,0.976562,0.023438,2407168,0.83,58.6,54.0
360895,Llanto,880,0.871094,0.128906,2407168,0.83,58.6,54.0
362819,Llanto,880,0.976562,0.023438,2407168,1.03,93.5,95.0
364738,Llanto,880,0.976562,0.023438,2407168,1.02,64.8,59.0
366641,Llanto,870,0.855469,0.144531,2407168,1.02,54.0,54.0
368561,Llanto,870,0.949219,0.050781,2407168,1.0,45.2,41.0
370481,Llanto,870,0.976562,0.023438,2407168,0.98,45.5,46.0
372389,Llanto,880,0.976562,0.023438,2407168,0.97,45.6,41.0
374306,Llanto,880,0.972656,0.027344,2407168,1.0,45.0,44.0
376225,Llanto,880,0.976562,0.023438,2407168,0.92,44.9,43.0
378136,Llanto,870,0.976562,0.023438,2407168,1.0,45.0,49.0
380052,Llanto,870,0.972656,0.027344,2407168,0.91,111.3,115.0
381971,Llanto,870,0.953125,0.046875,2407168,0.99,111.7,123.0
383877,Llanto,880,0.789062,0.210938,2407168,0.92,61.0,59.0
385796,Ruido,880,0.136719,0.863281,2407168,1.0,68.5,72.0
387718,Llanto,880,0.902344,0.097656,2407168,0.93,59.9,57.0
389622,Ruido,870,0.347656,0.652344,2407168,1.0,59.9,62.0
391542,Llanto,870,0.976562,0.023438,2407168,0.91,66.7,61.0
393462,Llanto,870,0.976562,0.023438,2407168,0.99,57.9,59.0
395366,Llanto,880,0.976562,0.023438,2407168,0.92,66.3,67.0
397288,Ruido,880,0.054688,0.945312,2407168,1.0,62.2,66.0
399207,Ruido,880,0.050781,0.949219,2407168,0.92,58.0,59.0
401111,Ruido,870,0.058594,0.941406,2407168,0.92,58.0,59.0
403031,Llanto,870,0.898438,0.101562,2407168,1.0,109.2,118.0
404952,Ruido,870,0.027344,0.972656,2407168,0.93,45.1,44.0
406857,Ruido,880,0.132812,0.867188,2407168,1.0,53.6,56.0
408778,Ruido,880,0.050781,0.949219,2407168,0.92,45.1,43.0
410696,Ruido,880,0.050781,0.949219,2407168,1.0,45.0,48.0
412602,Ruido,870,0.171875,0.828125,2407168,0.91,45.2,43.0
414521,Ruido,870,0.179688,0.820312,2407168,1.0,45.2,48.0
416442,Llanto,870,0.710938,0.289062,2407168,0.94,44.8,48.0
418347,Ruido,880,0.039062,0.960938,2407168,1.0,91.0,95.0
420266,Llanto,880,0.949219,0.050781,2407168,0.94,65.6,69.0
422187,Ruido,880,0.0625,0.9375,2407168,1.06,112.2,116.0
424091,Ruido,870,0.050781,0.949219,2407168,0.98,84.6,88.0
426012,Llanto,870,0.976562,0.023438,2407168,1.08,66.1,20.0
427934,Ruido,870,0.417969,0.582031,2407168,1.01,107.7,111.0
429836,Ruido,880,0.179688,0.820312,2407168,1.08,60.8,52.0
431757,Llanto,880,0.832031,0.167969,2407168,1.04,66.5,82.0
433685,Llanto,880,0.976562,0.023438,2407168,1.06,58.2,29.0
435582,Llanto,870,0.945312,0.054688,2407168,1.05,66.4,118.0
437504,Ruido,870,0.105469,0.894531,2407168,1.08,62.3,25.0
439425,Llanto,870,0.804688,0.195312,2407168,1.02,66.9,69.0
441377,Llanto,880,0.976562,0.023438,2407168,1.04,62.3,67.0
443248,Llanto,880,0.695312,0.304688,2407168,1.04,62.3,67.0
445167,Ruido,880,0.042969,0.957031,2407168,0.92,45.2,46.0
447072,Ruido,870,0.320312,0.679688,2407168,1.0,44.9,49.0
448991,Llanto,870,0.535156,0.464844,2407168,0.92,45.2,43.0
450911,Llanto,870,0.632812,0.367188,2407168,1.0,45.2,49.0
452817,Llanto,880,0.53125,0.46875,2407168,0.91,45.3,43.0
454738,Llanto,880,0.789062,0.210938,2407168,0.97,45.0,44.0
456659,Ruido,880,0.023438,0.976562,2407168,1.0,93.7,85.0
458565,Ruido,870,0.113281,0.886719,2407168,1.09,44.9,44.0
460482,Ruido,870,0.375,0.625,2407168,0.58,71.1,69.0
462404,Ruido,870,0.039062,0.960938,2407168,1.03,65.5,69.0
464310,Ruido,880,0.03125,0.96875,2407168,0.99,73.2,2.0
466238,Ruido,880,0.363281,0.636719,2407168,1.04,59.2,61.0
468147,Llanto,880,0.976562,0.023438,2407168,1.05,59.1,11.0
470054,Llanto,870,0.976562,0.023438,2407168,1.02,60.3,62.0
471972,Llanto,870,0.976562,0.023438,2407168,1.04,60.0,62.0
473892,Llanto,870,0.976562,0.023438,2407168,0.93,58.3,61.0
475797,Llanto,880,0.976562,0.023438,2407168,1.0,60.4,66.0
477716,Llanto,880,0.976562,0.023438,2407168,0.92,62.7,57.0
479638,Llanto,880,0.976562,0.023438,2407168,1.03,66.7,67.0
481583,Llanto,870,0.976562,0.023438,2407168,1.03,58.2,56.0
483462,Llanto,870,0.976562,0.023438,2407168,1.03,58.2,56.0
485384,Ruido,870,0.054688,0.945312,2407168,1.19,45.5,44.0
487289,Llanto,880,0.976562,0.023438,2407168,0.81,45.2,41.0
489207,Llanto,880,0.976562,0.023438,2407168,1.27,44.7,43.0
491127,Llanto,880,0.976562,0.023438,2407168,0.0,45.1,48.0
493032,Llanto,870,0.796875,0.203125,2407168,1.05,45.0,111.0
494954,Llanto,870,0.976562,0.023438,2407168,1.04,102.5,56.0
496874,Ruido,870,0.203125,0.796875,2407168,0.94,45.1,48.0
498778,Ruido,880,0.054688,0.945312,2407168,1.0,45.0,46.0
500698,Llanto,880,0.976562,0.023438,2407168,0.92,75.0,66.0
502618,Ruido,880,0.230469,0.769531,2407168,0.95,63.8,62.0
504522,Ruido,870,0.222656,0.777344,2407168,0.96,64.1,59.0
506442,Llanto,870,0.976562,0.023438,2407168,0.98,59.0,59.0
508368,Llanto,870,0.8125,0.1875,2407168,1.07,70.4,66.0
510267,Llanto,880,0.972656,0.027344,2407168,2.08,105.4,98.0
512192,Llanto,880,0.871094,0.128906,2407168,0.0,60.6,64.0
514106,Llanto,880,0.660156,0.339844,2407168,1.48,58.5,74.0
516012,Llanto,870,0.976562,0.023438,2407168,0.24,59.9,57.0
517932,Llanto,870,0.96875,0.03125,2407168,1.04,62.3,115.0
519854,Llanto,870,0.917969,0.082031,2407168,1.06,58.1,11.0
521785,Llanto,880,0.886719,0.113281,2407168,1.04,58.3,62.0
523678,Llanto,880,0.976562,0.023438,2407168,1.04,58.3,62.0
525597,Ruido,880,0.425781,0.574219,2407168,0.57,93.4,87.0
527505,Llanto,870,0.878906,0.121094,2407168,1.04,95.1,241.0
529422,Ruido,870,0.125,0.875,2407168,1.06,102.0,2.0
531345,Ruido,870,0.03125,0.96875,2407168,1.0,44.8,46.0
533248,Ruido,880,0.148438,0.851562,2407168,1.07,95.2,0.0
535172,Llanto,880,0.976562,0.023438,2407168,0.97,45.1,46.0
537088,Llanto,880,0.976562,0.023438,2407168,1.0,45.2,48.0
538993,Llanto,870,0.976562,0.023438,2407168,0.91,45.1,44.0
540912,Ruido,870,0.039062,0.960938,2407168,1.0,45.0,48.0
542836,Ruido,870,0.203125,0.796875,2407168,0.91,117.7,120.0
544740,Ruido,880,0.066406,0.933594,2407168,1.0,62.6,67.0
546657,Ruido,880,0.078125,0.921875,2407168,0.92,59.1,57.0
548583,Ruido,880,0.316406,0.683594,2407168,1.0,107.9,115.0
550483,Llanto,870,0.976562,0.023438,2407168,0.93,58.9,57.0
552403,Llanto,870,0.890625,0.109375,2407168,1.0,60.0,61.0
554323,Ruido,870,0.082031,0.917969,2407168,0.92,58.5,56.0
556227,Ruido,880,0.113281,0.886719,2407168,0.99,60.1,62.0
558150,Llanto,880,0.585938,0.414062,2407168,0.92,62.3,61.0
560070,Llanto,880,0.976562,0.023438,2407168,1.0,58.1,61.0
562001,Llanto,870,0.976562,0.023438,2407168,0.92,66.5,62.0
563894,Llanto,870,0.976562,0.023438,2407168,0.92,66.5,62.0
565814,Llanto,870,0.976562,0.023438,2407168,0.98,95.4,95.0
567720,Llanto,880,0.976562,0.023438,2407168,1.02,45.7,43.0
569638,Llanto,880,0.976562,0.023438,2407168,1.02,45.6,46.0
571566,Llanto,880,0.839844,0.160156,2407168,1.01,45.4,84.0
573468,Ruido,870,0.046875,0.953125,2407168,1.2,44.8,44.0
575384,Ruido,870,0.480469,0.519531,2407168,0.24,45.2,46.0
577304,Ruido,870,0.074219,0.925781,2407168,1.07,45.1,44.0
579208,Llanto,880,0.976562,0.023438,2407168,0.83,45.2,43.0
581181,Ruido,880,0.042969,0.957031,2407168,1.58,44.9,48.0
583048,Llanto,880,0.882812,0.117188,2407168,1.04,71.3,57.0
584955,Llanto,870,0.613281,0.386719,2407168,1.03,63.0,170.0
586873,Llanto,870,0.976562,0.023438,2407168,1.05,109.4,57.0
588794,Llanto,870,0.84375,0.15625,2407168,1.04,59.9,66.0
590699,Ruido,880,0.027344,0.972656,2407168,1.08,59.1,7.0
592620,Ruido,880,0.5,0.5,2407168,0.98,67.0,69.0
594537,Llanto,880,0.671875,0.328125,2407168,1.05,62.1,8.0
596443,Llanto,870,0.625,0.375,2407168,1.04,60.2,62.0
598363,Llanto,870,0.976562,0.023438,2407168,1.05,66.9,70.0
600282,Llanto,870,0.933594,0.066406,2407168,1.0,58.1,61.0
