timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
129215,Llanto,20,0.71875,0.28125,80920,1.0,45.2,48.0
130638,Ruido,30,0.289062,0.710938,80920,1.0,45.2,48.0
132049,Llanto,30,0.757812,0.242188,80920,1.08,94.6,15.0
133474,Ruido,20,0.375,0.625,80920,1.04,45.1,110.0
134899,Llanto,30,0.652344,0.347656,80920,0.42,44.8,43.0
136309,Ruido,30,0.28125,0.71875,80920,0.42,44.8,43.0
137733,Ruido,20,0.492188,0.507812,80920,2.76,45.1,48.0
139159,Ruido,30,0.296875,0.703125,80920,0.78,45.1,44.0
140570,Llanto,30,0.71875,0.28125,80920,0.78,45.1,44.0
141996,Llanto,20,0.824219,0.175781,80920,1.09,94.3,95.0
143419,Llanto,30,0.558594,0.441406,80920,1.05,54.2,51.0
144858,Llanto,30,0.679688,0.320312,80920,1.0,67.8,69.0
146253,Llanto,20,0.644531,0.355469,80920,1.0,67.8,69.0
147683,Llanto,30,0.59375,0.40625,80920,0.95,45.0,49.0
149088,Ruido,30,0.261719,0.738281,80920,1.04,46.7,51.0
150514,Ruido,20,0.21875,0.78125,80920,1.04,46.7,51.0
151939,Llanto,30,0.617188,0.382812,80920,1.01,54.1,56.0
153349,Llanto,30,0.800781,0.199219,80920,1.05,46.8,51.0
154774,Ruido,20,0.074219,0.925781,80920,1.05,46.8,51.0
156198,Ruido,30,0.328125,0.671875,80920,1.02,45.6,48.0
157616,Llanto,30,0.558594,0.441406,80920,1.08,45.2,0.0
159037,Ruido,20,0.328125,0.671875,80920,1.03,45.3,46.0
160459,Llanto,30,0.824219,0.175781,80920,1.03,45.3,46.0
161869,Ruido,30,0.464844,0.535156,80920,1.08,45.5,7.0
163295,Llanto,20,0.652344,0.347656,80920,1.04,44.7,128.0
164719,Llanto,30,0.789062,0.210938,80920,1.04,44.7,128.0
166132,Llanto,30,0.617188,0.382812,80920,0.0,95.3,92.0
167555,Llanto,20,0.730469,0.269531,80920,1.04,44.7,48.0
168985,Ruido,30,0.054688,0.945312,80920,0.31,45.2,48.0
170389,Ruido,30,0.199219,0.800781,80920,0.31,45.2,48.0
171814,Ruido,20,0.152344,0.847656,80920,1.21,44.8,49.0
173239,Ruido,30,0.023438,0.976562,80920,0.78,48.1,48.0
174648,Ruido,30,0.457031,0.542969,80920,0.78,48.1,48.0
176074,Llanto,20,0.652344,0.347656,80920,1.09,44.7,46.0
177504,Llanto,30,0.570312,0.429688,80920,1.06,45.0,43.0
178909,Ruido,30,0.441406,0.558594,80920,1.06,45.0,43.0
180335,Llanto,20,0.601562,0.398438,80920,0.99,45.1,46.0
181773,Llanto,30,0.679688,0.320312,80920,0.93,91.8,46.0
183169,Llanto,30,0.585938,0.414062,80920,1.04,45.2,0.0
184599,Ruido,20,0.367188,0.632812,80920,1.04,45.2,0.0
186019,Llanto,30,0.6875,0.3125,80920,1.03,45.2,46.0
187431,Llanto,30,0.625,0.375,80920,1.08,53.7,43.0
188854,Llanto,20,0.757812,0.242188,80920,1.08,53.7,43.0
190282,Ruido,30,0.140625,0.859375,80920,1.03,94.8,195.0
191689,Llanto,30,0.671875,0.328125,80920,0.0,45.2,46.0
193119,Llanto,20,0.898438,0.101562,80920,2.79,44.9,48.0
194539,Llanto,30,0.769531,0.230469,80920,2.79,44.9,48.0
